date_utc,eoc_avg,eoc_max,osrs_avg,osrs_max,total_avg,total_max,timestamp_ms
2025-09-01 00:00:00,25538,50147,165046,257491,190584,286813,1756684800000
2025-08-01 00:00:00,19417,30216,184187,248811,203605,278225,1754006400000
2025-07-01 00:00:00,19371,28960,144039,227911,163411,256140,1751328000000
2025-06-01 00:00:00,18374,27547,126688,173938,145063,200092,1748736000000
2025-05-01 00:00:00,19891,33051,114739,161138,134630,191088,1746057600000
2025-04-01 00:00:00,19306,28491,101001,143948,120307,171303,1743465600000
2025-03-01 00:00:00,20319,34366,102641,152711,122961,183656,1740787200000
2025-02-01 00:00:00,21558,36505,94342,139181,115901,171968,1738368000000
2025-01-01 00:00:00,23299,39724,97684,148212,120983,187721,1735689600000
2024-12-01 00:00:00,27816,47394,127596,231719,155412,263094,1733011200000
2024-11-01 00:00:00,24527,40942,113460,220001,137988,248837,1730419200000
2024-10-01 00:00:00,20738,33266,106896,151670,127635,182221,1727740800000
2024-09-01 00:00:00,19406,29895,110038,160391,129444,189644,1725148800000
2024-08-01 00:00:00,21253,32502,112209,157249,133463,187584,1722470400000
2024-07-01 00:00:00,18379,27618,110224,154920,128604,182326,1719792000000
2024-06-01 00:00:00,18064,27744,112060,150474,130125,178045,1717200000000
2024-05-01 00:00:00,18438,30637,110309,153825,128747,178689,1714521600000
2024-04-01 00:00:00,18410,28620,113295,155986,131705,184056,1711929600000
2024-03-01 00:00:00,20358,33189,106929,160184,127287,193148,1709251200000
2024-02-01 00:00:00,21397,38307,96798,138306,118195,175716,1706745600000
2024-01-01 00:00:00,21671,35094,93359,135512,115030,167652,1704067200000
2023-12-01 00:00:00,26603,53161,109248,174268,135851,225326,1701388800000
2023-11-01 00:00:00,23582,38366,125887,205251,149469,240379,1698796800000
2023-10-01 00:00:00,21364,31168,105387,146771,126751,176969,1696118400000
2023-09-01 00:00:00,23157,39542,101826,146046,124984,185442,1693526400000
2023-08-01 00:00:00,31611,57316,100174,140817,131786,186983,1690848000000
2023-07-01 00:00:00,25521,42196,93232,132423,118753,174463,1688169600000
2023-06-01 00:00:00,24881,39127,86235,119912,111116,157430,1685577600000
2023-05-01 00:00:00,21476,33258,91906,127692,113382,156946,1682899200000
2023-04-01 00:00:00,22206,32951,93881,135093,116087,164725,1680307200000
2023-03-01 00:00:00,21943,33489,91273,130589,113217,163741,1677628800000
2023-02-01 00:00:00,25090,42320,91163,134763,116253,168973,1675209600000
2023-01-01 00:00:00,26224,40092,90169,135909,116394,172253,1672531200000
2022-12-01 00:00:00,25802,37455,76987,111128,102789,147342,1669852800000
2022-11-01 00:00:00,25816,44525,68559,103670,94376,146695,1667260800000
2022-10-01 00:00:00,26833,38909,72431,104865,99264,143774,1664582400000
2022-09-01 00:00:00,23948,36851,72438,106339,96386,141535,1661990400000
2022-08-01 00:00:00,24512,33052,69576,93184,94088,124894,1659312000000
2022-07-01 00:00:00,25391,36766,66156,98295,91548,134493,1656633600000
2022-06-01 00:00:00,23329,33700,63281,92020,86610,125720,1654041600000
2022-05-01 00:00:00,24379,40091,61108,88747,85488,128694,1651363200000
2022-04-01 00:00:00,24545,34655,60216,85896,84761,120454,1648771200000
2022-03-01 00:00:00,24234,36100,58753,88260,82988,124342,1646092800000
2022-02-01 00:00:00,27700,46876,75218,118881,102919,156302,1643673600000
