date_utc,eoc_avg,eoc_max,osrs_avg,osrs_max,total_avg,total_max,timestamp_ms
2025-07-01 00:00:00,21036,50147,164361,257491,185398,286813,1751328000000
2025-04-01 00:00:00,19198,33051,114150,173938,133348,200092,1743465600000
2025-01-01 00:00:00,21730,39724,98352,152711,120082,187721,1735689600000
2024-10-01 00:00:00,24358,47394,116012,231719,140370,263094,1727740800000
2024-07-01 00:00:00,19678,32502,110829,160391,130508,189644,1719792000000
2024-04-01 00:00:00,18305,30637,111870,155986,130176,184056,1711929600000
2024-01-01 00:00:00,21136,38307,99078,160184,120215,193148,1704067200000
2023-10-01 00:00:00,23853,53161,113373,205251,137226,240379,1696118400000
2023-07-01 00:00:00,26802,57316,98373,146046,125176,186983,1688169600000
2023-04-01 00:00:00,22839,39127,90688,135093,113527,164725,1680307200000
2023-01-01 00:00:00,24397,42320,90859,135909,115256,172253,1672531200000
2022-10-01 00:00:00,26154,44525,72703,111128,98858,147342,1664582400000
2022-07-01 00:00:00,24672,36851,69265,106339,93937,141535,1656633600000
2022-04-01 00:00:00,24087,40091,61530,92020,85618,128694,1648771200000
2022-01-01 00:00:00,27660,57086,73413,141722,101074,181181,1640995200000
2021-10-01 00:00:00,31374,56443,71562,123327,102937,160672,1633046400000
2021-07-01 00:00:00,32039,52007,63273,90440,95313,138102,1625097600000
2021-04-01 00:00:00,34063,54260,71554,110519,105617,161555,1617235200000
2021-01-01 00:00:00,36063,65637,81497,119811,117560,175827,1609459200000
2020-10-01 00:00:00,33854,59250,96684,172679,130538,223635,1601510400000
2020-07-01 00:00:00,30474,48567,88548,125387,119022,169581,1593561600000
2020-04-01 00:00:00,38777,64377,108889,157709,147666,216661,1585699200000
2020-01-01 00:00:00,22819,105253,77750,155948,100569,210306,1577836800000
2019-10-01 00:00:00,18972,85348,64765,105009,83737,132891,1569888000000
2019-07-01 00:00:00,20960,46508,70826,105690,91786,150284,1561939200000
2019-04-01 00:00:00,20483,34046,79562,119240,100045,151120,1554076800000
2019-01-01 00:00:00,26293,58048,93144,150434,119438,196226,1546300800000
2018-10-01 00:00:00,23767,53436,83548,151743,107316,197918,1538352000000
2018-07-01 00:00:00,23991,54990,57934,89325,81926,135103,1530403200000
2018-04-01 00:00:00,23554,36746,49357,74492,72911,108891,1522540800000
2018-01-01 00:00:00,27643,62101,53408,81499,81051,138764,1514764800000
2017-10-01 00:00:00,24811,38596,46181,71873,70993,108939,1506816000000
2017-07-01 00:00:00,27826,59542,44852,70439,72678,125869,1498867200000
2017-04-01 00:00:00,29429,62225,44725,69707,74154,125328,1491004800000
2017-01-01 00:00:00,29837,66491,44432,70514,74270,133555,1483228800000
2016-10-01 00:00:00,26243,41080,36735,61146,62979,101188,1475280000000
2016-07-01 00:00:00,28257,60691,34376,56193,62633,105552,1467331200000
2016-04-01 00:00:00,31275,48310,37453,57718,68727,103419,1459468800000
2016-01-01 00:00:00,34157,70967,35847,58112,70004,123301,1451606400000
2015-10-01 00:00:00,31278,53411,30590,51465,61868,98040,1443657600000
2015-07-01 00:00:00,34259,69636,33333,49984,67593,108220,1435708800000
2015-04-01 00:00:00,35888,53550,34811,54559,70699,107616,1427846400000
2015-01-01 00:00:00,39442,82760,27478,56126,66920,129996,1420070400000
2014-10-01 00:00:00,37345,76541,16136,27142,53481,99888,1412121600000
2014-07-01 00:00:00,37086,56409,16471,26418,53558,81171,1404172800000
2014-04-01 00:00:00,29513,46403,13410,24238,42924,70136,1396310400000
2014-01-01 00:00:00,32543,66929,16130,26626,48674,90591,1388534400000
2013-10-01 00:00:00,25474,47211,11781,22080,37255,68091,1380585600000
2013-07-01 00:00:00,31918,60284,14082,23315,45962,82093,1372636800000
2013-04-01 00:00:00,46454,79637,25607,52553,72061,120560,1364774400000
2013-01-01 00:00:00,46403,72372,40161,69456,86570,137890,1356998400000
