date_utc,eoc_avg,eoc_max,osrs_avg,osrs_max,total_avg,total_max,timestamp_ms
2025-10-01 00:00:00,32564,45825,138829,177365,171393,222204,1759276800000
2025-09-24 00:00:00,35188,50147,150257,196553,185445,246500,1758672000000
2025-09-17 00:00:00,19649,28393,162309,211992,181959,240130,1758067200000
2025-09-10 00:00:00,20153,29565,188631,257491,208784,286813,1757462400000
2025-09-03 00:00:00,19688,27935,192707,246963,212396,274360,1756857600000
2025-08-27 00:00:00,19876,30216,185268,246354,205144,276488,1756252800000
2025-08-20 00:00:00,19365,29783,185479,248811,204845,278225,1755648000000
2025-08-13 00:00:00,19009,27231,173911,241258,192920,268383,1755043200000
2025-08-06 00:00:00,18572,26603,176179,241016,194752,267619,1754438400000
2025-07-30 00:00:00,19297,28259,158720,227911,178017,256140,1753833600000
2025-07-23 00:00:00,19335,28371,140853,202624,160189,230782,1753228800000
2025-07-16 00:00:00,19502,28328,130704,179546,150206,207806,1752624000000
2025-07-09 00:00:00,19874,28960,129063,177848,148938,206204,1752019200000
2025-07-02 00:00:00,18238,25782,131447,169904,149685,195560,1751414400000
2025-06-25 00:00:00,18591,26270,126438,172275,145030,198328,1750809600000
2025-06-18 00:00:00,18279,25453,125736,159807,144015,184660,1750204800000
2025-06-11 00:00:00,17917,26625,121053,173938,138971,200092,1749600000000
2025-06-04 00:00:00,19667,27775,124239,166993,143907,194425,1748995200000
2025-05-28 00:00:00,21435,30976,119228,156719,140663,187666,1748390400000
2025-05-21 00:00:00,20169,33051,113743,158577,133913,191088,1747785600000
2025-05-14 00:00:00,18558,25728,107977,138158,126535,163355,1747180800000
2025-05-07 00:00:00,19344,28117,106180,146496,125524,174555,1746576000000
2025-04-30 00:00:00,20188,28491,105219,141768,125408,170043,1745971200000
2025-04-23 00:00:00,19879,28366,102544,132583,122424,160550,1745366400000
2025-04-16 00:00:00,18565,27120,93435,138500,112000,165125,1744761600000
2025-04-09 00:00:00,18407,27736,100070,143948,118477,171303,1744156800000
2025-04-02 00:00:00,20349,30048,104431,143518,124781,173438,1743552000000
2025-03-26 00:00:00,20688,31263,106801,152711,127490,183656,1742947200000
2025-03-19 00:00:00,19020,29537,99996,147154,119016,176465,1742342400000
2025-03-12 00:00:00,20653,30514,101714,142554,122368,172007,1741737600000
2025-03-05 00:00:00,22670,34366,96923,137777,119594,171988,1741132800000
2025-02-26 00:00:00,22719,36505,93988,135615,116708,171968,1740528000000
2025-02-19 00:00:00,20547,31810,94677,139181,115224,170893,1739923200000
2025-02-12 00:00:00,20656,30677,92813,135499,113470,166109,1739318400000
2025-02-05 00:00:00,21512,31447,91731,130907,113243,162200,1738713600000
2025-01-29 00:00:00,22293,32996,92871,132567,115164,165469,1738108800000
2025-01-22 00:00:00,22627,33798,95471,132919,118099,166381,1737504000000
2025-01-15 00:00:00,23356,35160,102833,143870,126189,178227,1736899200000
2025-01-08 00:00:00,27609,39724,108381,148212,135990,187721,1736294400000
2024-12-30 00:00:00,27681,45237,107716,147428,135398,190737,1735516800000
2024-12-23 00:00:00,28299,44737,117259,157869,145559,195924,1734912000000
2024-12-16 00:00:00,28519,47307,131141,176992,159660,222864,1734307200000
2024-12-09 00:00:00,27587,47394,152481,208520,180068,244642,1733702400000
2024-12-02 00:00:00,22178,34324,146543,231719,168721,263094,1733097600000
2024-11-25 00:00:00,26469,38660,104513,146591,130982,185251,1732492800000
2024-11-18 00:00:00,25552,40942,106686,150868,132239,191759,1731888000000
2024-11-11 00:00:00,23618,34814,106485,148130,130103,182884,1731283200000
2024-11-04 00:00:00,23980,37148,107366,151221,131347,187291,1730678400000
